original	gatherings	width	height	obl	n
18 x 11 cm.	NA	NA	NA	NA	2
18 x 16 cm.	NA	NA	NA	NA	2
18 x 21 cm.	NA	NA	NA	NA	2
18 x 23 cm.	NA	NA	NA	NA	2
19 x 11 cm.	NA	NA	NA	NA	2
19 x 20 cm.	NA	NA	NA	NA	2
19 x 22 cm.	NA	NA	NA	NA	2
19 x 24 cm.	NA	NA	NA	NA	2
19 x 9 cm.	NA	NA	NA	NA	2
2₀	NA	NA	NA	0	2
20 x 23 cm.	NA	NA	NA	NA	2
20 x 24 cm.	NA	NA	NA	NA	2
20 x 32 cm (2⁰)	NA	NA	NA	NA	2
2⁰; 1⁰.	NA	NA	NA	0	2
21 x 19 cm.	NA	NA	NA	NA	2
21 x 26 cm.	NA	NA	NA	NA	2
22 x 13 cm.	NA	NA	NA	NA	2
22 x 21 cm.	NA	NA	NA	NA	2
23 x 37 cm.	NA	NA	NA	NA	2
23-31 cm.	NA	NA	NA	0	2
24 x 12 cm.	NA	NA	NA	NA	2
25 x 16 cm.	NA	NA	NA	NA	2
25 x 22 cm.	NA	NA	NA	NA	2
25 x 26 cm.	NA	NA	NA	NA	2
26 x 14 cm.	NA	NA	NA	NA	2
26 x 17 cm.	NA	NA	NA	NA	2
26 x 40 cm.	NA	NA	NA	NA	2
27 x 18 cm.	NA	NA	NA	NA	2
27 x 19 cm.	NA	NA	NA	NA	2
27 x 34 cm (2⁰)	NA	NA	NA	NA	2
27-41 cm.	NA	NA	NA	0	2
28 x 11 cm.	NA	NA	NA	NA	2
28 x 16 cm.	NA	NA	NA	NA	2
28 x 24 cm.	NA	NA	NA	NA	2
29 x 16 cm.	NA	NA	NA	NA	2
2o.	NA	NA	NA	0	2
30 x 13 cm.	NA	NA	NA	NA	2
30 x 15 cm.	NA	NA	NA	NA	2
30 x 17 cm.	NA	NA	NA	NA	2
31 x 12 cm.	NA	NA	NA	NA	2
31-46 cm.	NA	NA	NA	0	2
32 x 13 cm.	NA	NA	NA	NA	2
32 x 20 cm. (1/2&quot;)	NA	NA	NA	NA	2
32 x 25 cm.	NA	NA	NA	NA	2
32 x 26 cm.	NA	NA	NA	NA	2
32 x 27 cm.	NA	NA	NA	NA	2
32 x 29 cm.	NA	NA	NA	NA	2
32 x 40 cm.	NA	NA	NA	NA	2
32-45 cm.	NA	NA	NA	0	2
33 x 10 cm.	NA	NA	NA	NA	2
33 x 14 cm.	NA	NA	NA	NA	2
33 x 28 cm.	NA	NA	NA	NA	2
33 x 31 cm.	NA	NA	NA	NA	2
33 x 32 cm.	NA	NA	NA	NA	2
33 x 40 cm.	NA	NA	NA	NA	2
33 x 41 cm.	NA	NA	NA	NA	2
33 x 42 cm.	NA	NA	NA	NA	2
34 x 11 cm.	NA	NA	NA	NA	2
34 x 12 cm.	NA	NA	NA	NA	2
34 x 25 cm.	NA	NA	NA	NA	2
35 x 24 cm.	NA	NA	NA	NA	2
35 x 27 cm.	NA	NA	NA	NA	2
35 x 42 cm.	NA	NA	NA	NA	2
36 x 13 cm.	NA	NA	NA	NA	2
36 x 14 cm.	NA	NA	NA	NA	2
36 x 19 cm.	NA	NA	NA	NA	2
36 x 31 cm.	NA	NA	NA	NA	2
37 x 18 cm.	NA	NA	NA	NA	2
37 x 19 cm.	NA	NA	NA	NA	2
37 x 20 cm.	NA	NA	NA	NA	2
37 x 21 cm.	NA	NA	NA	NA	2
37 x 28 cm.	NA	NA	NA	NA	2
38 x 20 cm.	NA	NA	NA	NA	2
38 x 28 cm.	NA	NA	NA	NA	2
38-42 cm.	NA	NA	NA	0	2
38-43 cm.	NA	NA	NA	0	2
38-46 cm.	NA	NA	NA	0	2
39 x 18 cm.	NA	NA	NA	NA	2
39 x 21 cm.	NA	NA	NA	NA	2
39 x 23 cm.	NA	NA	NA	NA	2
39-43 cm.	NA	NA	NA	0	2
39-44 cm.	NA	NA	NA	0	2
4⁰ ⁸.⁶.	NA	NA	NA	0	2
4⁰ mostly in 8's.	NA	NA	NA	0	2
40 x 21 cm.	NA	NA	NA	NA	2
40 x 23 cm.	NA	NA	NA	NA	2
40-49 cm.	NA	NA	NA	0	2
40.	NA	NA	NA	0	2
4⁰&amp;2⁰.	NA	NA	NA	0	2
4⁰⁴.⁶.	NA	NA	NA	0	2
41 x 21 cm.	NA	NA	NA	NA	2
41 x 22 cm.	NA	NA	NA	NA	2
41-48 cm.	NA	NA	NA	0	2
