original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	162631	162631	33.8	33.8
4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	87901	250532	18.3	52
12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	68926	319458	14.3	66.4
2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	57201	376659	11.9	78.2
1/2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	34723	411382	7.2	85.5
1⁰.	1to	NA	NA	FALSE	2fo	30	45	0	1350	16362	427744	3.4	88.9
NA	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10311	438055	2.1	91
1/4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	9088	447143	1.9	92.9
1/8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2776	449919	0.6	93.5
18⁰.	18mo	NA	NA	FALSE	18mo	10	16	0	160	2000	451919	0.4	93.9
16⁰.	16mo	NA	NA	FALSE	16mo	12	15	0	180	1986	453905	0.4	94.3
24⁰.	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	1759	455664	0.4	94.7
4°.	4to	NA	NA	FALSE	4to	22	28	0	616	1458	457122	0.3	95
4⁰	4to	NA	NA	FALSE	4to	22	28	0	616	1257	458379	0.3	95.2
8⁰	8vo	NA	NA	FALSE	8vo	13	19	0	247	1024	459403	0.2	95.4
obl. 1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1014	460417	0.2	95.6
obl. 1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	974	461391	0.2	95.8
obl.1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	807	462198	0.2	96
12⁰	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	723	462921	0.2	96.2
broadsheet	1to	NA	NA	FALSE	2fo	30	45	0	1350	712	463633	0.1	96.3
32⁰.	32mo	NA	NA	FALSE	32mo	7	12	0	84	709	464342	0.1	96.5
1/12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	682	465024	0.1	96.6
2⁰	2fo	NA	NA	FALSE	2fo	30	45	0	1350	492	465516	0.1	96.7
octavo	8vo	NA	NA	FALSE	8vo	13	19	0	247	477	465993	0.1	96.8
1/2⁰	2fo	NA	NA	FALSE	2fo	30	45	0	1350	437	466430	0.1	96.9
quarto [fewer than 50 pages]	4to	NA	NA	FALSE	4to	22	28	0	616	423	466853	0.1	97
quarto	4to	NA	NA	FALSE	4to	22	28	0	616	293	467146	0.1	97
duodecimo	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	273	467419	0.1	97.1
17 cm.	NA	NA	17	FALSE	NA	12	17	NA	204	242	467661	0.1	97.1
34 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	225	467886	0	97.2
obl.4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	219	468105	0	97.2
obl.2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	195	468300	0	97.3
16 cm.	NA	NA	16	FALSE	NA	11	16	NA	176	194	468494	0	97.3
19 cm.	NA	NA	19	FALSE	NA	13	19	NA	247	180	468674	0	97.4
18 cm.	NA	NA	18	FALSE	NA	12	18	NA	216	165	468839	0	97.4
1/16⁰.	16mo	NA	NA	FALSE	16mo	12	15	0	180	158	468997	0	97.4
21 cm.	NA	NA	21	FALSE	NA	14	21	NA	294	158	469155	0	97.5
long 12⁰.	12long	NA	NA	FALSE	12long	13	20	0	260	156	469311	0	97.5
s.sh.fol.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	149	469460	0	97.5
obl.8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	141	469601	0	97.6
obl. 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	139	469740	0	97.6
20 cm.	NA	NA	20	FALSE	NA	13	20	NA	260	137	469877	0	97.6
obl.1/8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	124	470001	0	97.6
64⁰.	64mo	NA	NA	FALSE	64mo	5	7	0	35	122	470123	0	97.7
octavo [fewer than 50 pages]	8vo	NA	NA	FALSE	8vo	13	19	0	247	115	470238	0	97.7
21 cm (8⁰)	8vo	NA	21	FALSE	8vo	14	21	0	294	111	470349	0	97.7
obl. 1/4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	111	470460	0	97.7
obl.12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	111	470571	0	97.8
folio	2fo	NA	NA	FALSE	2fo	30	45	0	1350	110	470681	0	97.8
15 cm.	NA	NA	15	FALSE	16mo	12	15	0	180	109	470790	0	97.8
obl.1/12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	108	470898	0	97.8
35 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	107	471005	0	97.8
20 cm. (4⁰)	4to	NA	20	FALSE	4to	17	20	0	340	106	471111	0	97.9
22 cm.	NA	NA	22	FALSE	8vo	15	22	0	330	105	471216	0	97.9
16⁰ in 8's.	16mo	NA	NA	FALSE	16mo	12	15	0	180	96	471312	0	97.9
long 12⁰	12long	NA	NA	FALSE	12long	13	20	0	260	96	471408	0	97.9
folio [fewer than 50 pages]	2fo	NA	NA	FALSE	2fo	30	45	0	1350	94	471502	0	97.9
4⁰ in 8's.	4to	NA	NA	FALSE	4to	22	28	0	616	93	471595	0	98
obl.1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	89	471684	0	98
1⁰	1to	NA	NA	FALSE	2fo	30	45	0	1350	87	471771	0	98
obl. 8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	86	471857	0	98
4.̊	4to	NA	NA	FALSE	4to	22	28	0	616	85	471942	0	98
obl. 2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	79	472021	0	98.1
1/4⁰	4to	NA	NA	FALSE	4to	22	28	0	616	75	472096	0	98.1
11 cm.	NA	NA	11	FALSE	NA	8	11	NA	88	74	472170	0	98.1
14 cm.	NA	NA	14	FALSE	16mo	11	14	0	154	74	472244	0	98.1
10 cm.	NA	NA	10	FALSE	16mo	7	10	0	70	72	472316	0	98.1
15 cm. 8⁰	8vo	NA	15	FALSE	8vo	11	15	0	165	71	472387	0	98.1
34 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	68	472455	0	98.1
35 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	67	472522	0	98.2
8.	8vo	NA	NA	FALSE	8vo	13	19	0	247	67	472589	0	98.2
1/fol.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	66	472655	0	98.2
23 cm.	NA	NA	23	FALSE	4to	18	23	0	414	66	472721	0	98.2
39 cm (2⁰)	2fo	NA	39	FALSE	2fo	26	39	0	1014	65	472786	0	98.2
4.	4to	NA	NA	FALSE	4to	22	28	0	616	65	472851	0	98.2
fol.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	61	472912	0	98.2
obl. 1/8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	60	472972	0	98.3
33 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	59	473031	0	98.3
long 24⁰.	24long	NA	NA	FALSE	24long	9.5	14	0	133	59	473090	0	98.3
44 cm.	NA	NA	44	FALSE	NA	29	44	NA	1276	56	473146	0	98.3
obl.1/4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	56	473202	0	98.3
8⁰ (22 cm.).	8vo	NA	22	FALSE	8vo	15	22	0	330	54	473256	0	98.3
32 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	53	473309	0	98.3
34 cm.	NA	NA	34	FALSE	2fo	22	34	0	748	53	473362	0	98.3
20 cm (8⁰)	8vo	NA	20	FALSE	8vo	13	20	0	260	50	473412	0	98.3
obl.16⁰.	16mo	NA	NA	TRUE	16mo	15	12	1	180	50	473462	0	98.4
1 /2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	47	473509	0	98.4
22 cm (8⁰)	8vo	NA	22	FALSE	8vo	15	22	0	330	46	473555	0	98.4
caption title; folio [fewer than 50 pages]	2fo	NA	NA	FALSE	2fo	30	45	0	1350	45	473600	0	98.4
2⁰(2).	2fo	NA	NA	FALSE	2fo	30	45	0	1350	44	473644	0	98.4
33 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	44	473688	0	98.4
45 cm.	NA	NA	45	FALSE	2fo	29	45	0	1305	44	473732	0	98.4
21 cm. (4⁰)	4to	NA	21	FALSE	4to	17	21	0	357	42	473774	0	98.4
1/2°.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	41	473815	0	98.4
33 cm.	NA	NA	33	FALSE	2fo	22	33	0	726	41	473856	0	98.4
31 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	40	473896	0	98.4
34 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	37	473933	0	98.5
43 cm.	NA	NA	43	FALSE	2fo	28	43	0	1204	36	473969	0	98.5
20 cm (4⁰)	4to	NA	20	FALSE	4to	17	20	0	340	35	474004	0	98.5
13 cm.	NA	NA	13	FALSE	16mo	10	13	0	130	34	474038	0	98.5
19 cm (4⁰)	4to	NA	19	FALSE	4to	16	19	0	304	34	474072	0	98.5
30 cm.	NA	NA	30	FALSE	NA	20	30	NA	600	34	474106	0	98.5
caption title; quarto [fewer than 50 pages]	4to	NA	NA	FALSE	4to	22	28	0	616	34	474140	0	98.5
21 cm. (8⁰)	8vo	NA	21	FALSE	8vo	14	21	0	294	33	474173	0	98.5
31 cm.	NA	NA	31	FALSE	NA	21	31	NA	651	33	474206	0	98.5
31 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	33	474239	0	98.5
32 cm.	NA	NA	32	FALSE	2fo	21	32	0	672	33	474272	0	98.5
42 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	33	474305	0	98.5
46 cm.	NA	NA	46	FALSE	NA	30	46	NA	1380	33	474338	0	98.5
24 cm.	NA	NA	24	FALSE	4to	19	24	0	456	32	474370	0	98.5
36 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	32	474402	0	98.5
long 8⁰.	8long	NA	NA	FALSE	8long	13	22	0	286	31	474433	0	98.6
1.̊	1to	NA	NA	FALSE	2fo	30	45	0	1350	30	474463	0	98.6
2.̊	2fo	NA	NA	FALSE	2fo	30	45	0	1350	30	474493	0	98.6
39 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	30	474523	0	98.6
1 ⁰.	1to	NA	NA	FALSE	2fo	30	45	0	1350	29	474552	0	98.6
35 cm.	NA	NA	35	FALSE	2fo	23	35	0	805	29	474581	0	98.6
39 cm.	NA	NA	39	FALSE	2fo	26	39	0	1014	29	474610	0	98.6
duodecimo [fewer than 50 pages]	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	29	474639	0	98.6
32 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	28	474667	0	98.6
48 cm (2⁰)	2fo	NA	48	FALSE	2fo	31	48	0	1488	28	474695	0	98.6
18 cm (4⁰)	4to	NA	18	FALSE	4to	16	18	0	288	27	474722	0	98.6
42 cm.	NA	NA	42	FALSE	2fo	27	42	0	1134	27	474749	0	98.6
obl. 1/12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	27	474776	0	98.6
16⁰	16mo	NA	NA	FALSE	16mo	12	15	0	180	26	474802	0	98.6
18⁰	18mo	NA	NA	FALSE	18mo	10	16	0	160	26	474828	0	98.6
19 cm. (4⁰)	4to	NA	19	FALSE	4to	16	19	0	304	26	474854	0	98.6
15 cm (8⁰)	8vo	NA	15	FALSE	8vo	11	15	0	165	25	474879	0	98.6
32 cm (2⁰)	2fo	NA	32	FALSE	2fo	21	32	0	672	25	474904	0	98.7
35 cm (2⁰)	2fo	NA	35	FALSE	2fo	23	35	0	805	25	474929	0	98.7
39 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	25	474954	0	98.7
40 cm.	NA	NA	40	FALSE	2fo	26	40	0	1040	25	474979	0	98.7
41 cm.	NA	NA	41	FALSE	NA	27	41	NA	1107	25	475004	0	98.7
8⁰ (21 cm.).	8vo	NA	21	FALSE	8vo	14	21	0	294	25	475029	0	98.7
16 cm (8⁰)	8vo	NA	16	FALSE	8vo	11	16	0	176	24	475053	0	98.7
24⁰ in 12's.	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	24	475077	0	98.7
29 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	24	475101	0	98.7
32 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	24	475125	0	98.7
36 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	24	475149	0	98.7
45 cm (2⁰)	2fo	NA	45	FALSE	2fo	29	45	0	1305	24	475173	0	98.7
12.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	23	475196	0	98.7
16 cm. 8⁰	8vo	NA	16	FALSE	8vo	11	16	0	176	23	475219	0	98.7
21 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	23	475242	0	98.7
26 cm.	NA	NA	26	FALSE	4to	20	26	0	520	23	475265	0	98.7
30 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	23	475288	0	98.7
36 cm (2⁰)	2fo	NA	36	FALSE	2fo	24	36	0	864	23	475311	0	98.7
38 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	23	475334	0	98.7
40 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	23	475357	0	98.7
obl. 12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	23	475380	0	98.8
12 cm.	NA	NA	12	FALSE	NA	9	12	NA	108	22	475402	0	98.8
31 cm (2⁰)	2fo	NA	31	FALSE	2fo	20	31	0	620	22	475424	0	98.8
36 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	22	475446	0	98.8
41 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	22	475468	0	98.8
25 cm.	NA	NA	25	FALSE	4to	19	25	0	475	21	475489	0	98.8
39 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	21	475510	0	98.8
44 cm (2⁰)	2fo	NA	44	FALSE	2fo	29	44	0	1276	21	475531	0	98.8
49 cm.	NA	NA	49	FALSE	NA	31	49	NA	1519	21	475552	0	98.8
1/2.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	20	475572	0	98.8
1/24⁰.	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	20	475592	0	98.8
40 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	20	475612	0	98.8
44 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	20	475632	0	98.8
50 cm.	NA	NA	50	FALSE	NA	32	50	NA	1600	20	475652	0	98.8
40 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	19	475671	0	98.8
43 cm (2⁰)	2fo	NA	43	FALSE	2fo	28	43	0	1204	19	475690	0	98.8
43 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	19	475709	0	98.8
43 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	19	475728	0	98.8
8⁰ in 4's.	8vo	NA	NA	FALSE	8vo	13	19	0	247	19	475747	0	98.8
long 2⁰.	2long	NA	NA	FALSE	2long	30	53	0	1590	19	475766	0	98.8
14 cm (8⁰)	8vo	NA	14	FALSE	8vo	10	14	0	140	18	475784	0	98.8
20 cm. (8⁰)	8vo	NA	20	FALSE	8vo	13	20	0	260	18	475802	0	98.8
20 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	18	475820	0	98.8
2⁰(3).	2fo	NA	NA	FALSE	2fo	30	45	0	1350	18	475838	0	98.8
24⁰	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	18	475856	0	98.9
24mo	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	18	475874	0	98.9
37 cm (2⁰)	2fo	NA	37	FALSE	2fo	25	37	0	925	18	475892	0	98.9
43 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	18	475910	0	98.9
obl. 12	NA	NA	NA	TRUE	NA	NA	NA	1	NA	18	475928	0	98.9
Obl.4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	18	475946	0	98.9
1/2.̊	2fo	NA	NA	FALSE	2fo	30	45	0	1350	17	475963	0	98.9
1/8⁰	8vo	NA	NA	FALSE	8vo	13	19	0	247	17	475980	0	98.9
19 cm (8⁰)	8vo	NA	19	FALSE	8vo	13	19	0	247	17	475997	0	98.9
22 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	17	476014	0	98.9
28 cm.	NA	NA	28	FALSE	NA	20	28	NA	560	17	476031	0	98.9
30 cm (4⁰)	4to	NA	30	FALSE	4to	23	30	0	690	17	476048	0	98.9
30 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	17	476065	0	98.9
33 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	17	476082	0	98.9
35 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	17	476099	0	98.9
38 cm (2⁰)	2fo	NA	38	FALSE	2fo	25	38	0	950	17	476116	0	98.9
42 cm (2⁰)	2fo	NA	42	FALSE	2fo	27	42	0	1134	17	476133	0	98.9
42 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	17	476150	0	98.9
48⁰.	48mo	NA	NA	FALSE	48mo	6.5	10	0	65	17	476167	0	98.9
8⁰ .	8vo	NA	NA	FALSE	8vo	13	19	0	247	17	476184	0	98.9
1/2⁰ and 2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	16	476200	0	98.9
13 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476216	0	98.9
23 cm (8⁰)	8vo	NA	23	FALSE	8vo	15	23	0	345	16	476232	0	98.9
26 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476248	0	98.9
28 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476264	0	98.9
28 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476280	0	98.9
33 cm (2⁰)	2fo	NA	33	FALSE	2fo	22	33	0	726	16	476296	0	98.9
38 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476312	0	98.9
39 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	16	476328	0	98.9
40 cm (2⁰)	2fo	NA	40	FALSE	2fo	26	40	0	1040	16	476344	0	99
48 cm.	NA	NA	48	FALSE	NA	31	48	NA	1488	16	476360	0	99
50 cm (2⁰)	2fo	NA	50	FALSE	2fo	32	50	0	1600	16	476376	0	99
8⁰ (20 cm.).	8vo	NA	20	FALSE	8vo	13	20	0	260	16	476392	0	99
long12⁰.	12long	NA	NA	FALSE	12long	13	20	0	260	16	476408	0	99
22 cm. (4⁰)	4to	NA	22	FALSE	4to	18	22	0	396	15	476423	0	99
23 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	15	476438	0	99
27 cm (4⁰)	4to	NA	27	FALSE	4to	21	27	0	567	15	476453	0	99
27 cm.	NA	NA	27	FALSE	NA	20	27	NA	540	15	476468	0	99
27 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	15	476483	0	99
29 cm (2⁰)	2fo	NA	29	FALSE	2fo	19	29	0	551	15	476498	0	99
4⁰ in 6's.	4to	NA	NA	FALSE	4to	22	28	0	616	15	476513	0	99
47 cm.	NA	NA	47	FALSE	NA	30	47	NA	1410	15	476528	0	99
13 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	14	476542	0	99
18 cm (8⁰)	8vo	NA	18	FALSE	8vo	12	18	0	216	14	476556	0	99
18 cm. 4⁰	4to	NA	18	FALSE	4to	16	18	0	288	14	476570	0	99
19 cm. 4⁰	4to	NA	19	FALSE	4to	16	19	0	304	14	476584	0	99
20 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	14	476598	0	99
23 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	14	476612	0	99
31 cm (1/2⁰)	2fo	NA	31	FALSE	2fo	20	31	0	620	14	476626	0	99
32 cm (1/2⁰)	2fo	NA	32	FALSE	2fo	21	32	0	672	14	476640	0	99
32⁰ in 8's.	32mo	NA	NA	FALSE	32mo	7	12	0	84	14	476654	0	99
34 cm (1/2⁰)	2fo	NA	34	FALSE	2fo	22	34	0	748	14	476668	0	99
36 cm.	NA	NA	36	FALSE	2fo	24	36	0	864	14	476682	0	99
40 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	14	476696	0	99
42 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	14	476710	0	99
46 cm (2⁰)	2fo	NA	46	FALSE	2fo	30	46	0	1380	14	476724	0	99
51 cm.	NA	NA	51	FALSE	NA	32	51	NA	1632	14	476738	0	99
52 cm.	NA	NA	52	FALSE	NA	33	52	NA	1716	14	476752	0	99
1/2 sh.fol.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476765	0	99
10 cm (16⁰)	16mo	NA	10	FALSE	16mo	7	10	0	70	13	476778	0	99
22 cm. (8⁰)	8vo	NA	22	FALSE	8vo	15	22	0	330	13	476791	0	99
24 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476804	0	99
25 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476817	0	99.1
26 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476830	0	99.1
28 cm (4⁰)	4to	NA	28	FALSE	4to	22	28	0	616	13	476843	0	99.1
30 cm (2⁰)	2fo	NA	30	FALSE	2fo	20	30	0	600	13	476856	0	99.1
30 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476869	0	99.1
31 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476882	0	99.1
32⁰	32mo	NA	NA	FALSE	32mo	7	12	0	84	13	476895	0	99.1
38 cm.	NA	NA	38	FALSE	NA	35	38	NA	1330	13	476908	0	99.1
38 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476921	0	99.1
4⁰ .	4to	NA	NA	FALSE	4to	22	28	0	616	13	476934	0	99.1
43 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476947	0	99.1
44 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	13	476960	0	99.1
49 cm (2⁰)	2fo	NA	49	FALSE	2fo	31	49	0	1519	13	476973	0	99.1
Broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	13	476986	0	99.1
14 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	476998	0	99.1
24 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477010	0	99.1
25 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477022	0	99.1
27 cm. 2⁰	2fo	NA	27	FALSE	2fo	17	27	0	459	12	477034	0	99.1
29 cm (4⁰)	4to	NA	29	FALSE	4to	23	29	0	667	12	477046	0	99.1
29 cm.	NA	NA	29	FALSE	NA	20	29	NA	580	12	477058	0	99.1
29 cm. (2⁰)	2fo	NA	29	FALSE	2fo	19	29	0	551	12	477070	0	99.1
30 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477082	0	99.1
31 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477094	0	99.1
34 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477106	0	99.1
35 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477118	0	99.1
37 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477130	0	99.1
37 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477142	0	99.1
39 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477154	0	99.1
41 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477166	0	99.1
42 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477178	0	99.1
44 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	12	477190	0	99.1
long24⁰.	24long	NA	NA	FALSE	24long	9.5	14	0	133	12	477202	0	99.1
obl.1/16⁰.	16mo	NA	NA	TRUE	16mo	15	12	1	180	12	477214	0	99.1
12 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477225	0	99.1
14 cm. 8⁰	8vo	NA	14	FALSE	8vo	10	14	0	140	11	477236	0	99.1
15 cm. 12⁰	12mo	NA	15	FALSE	12mo	11	15	0	165	11	477247	0	99.1
19 cm. (8⁰)	8vo	NA	19	FALSE	8vo	13	19	0	247	11	477258	0	99.1
2.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	11	477269	0	99.1
20 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477280	0	99.1
21 cm (4⁰)	4to	NA	21	FALSE	4to	17	21	0	357	11	477291	0	99.1
25 cm (4⁰)	4to	NA	25	FALSE	4to	19	25	0	475	11	477302	0	99.2
27 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477313	0	99.2
27 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477324	0	99.2
29 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477335	0	99.2
33 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477346	0	99.2
37 cm.	NA	NA	37	FALSE	2fo	25	37	0	925	11	477357	0	99.2
37 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477368	0	99.2
38 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477379	0	99.2
38 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477390	0	99.2
41 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477401	0	99.2
41 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477412	0	99.2
obl. 16⁰.	16mo	NA	NA	TRUE	16mo	15	12	1	180	11	477423	0	99.2
s.sh.4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	11	477434	0	99.2
1/32⁰.	32mo	NA	NA	FALSE	32mo	7	12	0	84	10	477444	0	99.2
12 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477454	0	99.2
12⁰ .	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	10	477464	0	99.2
2⁰ .	2fo	NA	NA	FALSE	2fo	30	45	0	1350	10	477474	0	99.2
22 cm (4⁰)	4to	NA	22	FALSE	4to	18	22	0	396	10	477484	0	99.2
24 cm. (4⁰)	4to	NA	24	FALSE	4to	19	24	0	456	10	477494	0	99.2
28 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477504	0	99.2
30 cm (1/2⁰)	2fo	NA	30	FALSE	2fo	20	30	0	600	10	477514	0	99.2
31 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477524	0	99.2
32 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477534	0	99.2
